FIPS,Geographic Identifier,Total Population:,Total Population: Under 18 Years,Total Population: 18 to 34 Years,Total Population: 35 to 64 Years,Total Population: 65 and Over,% Total Population: Under 18 Years,% Total Population: 18 to 34 Years,% Total Population: 35 to 64 Years,% Total Population: 65 and Over,Population 25 Years and Over,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Diploma,Population 25 Years and Over: Bachelor's Degree or Better,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Diploma,% Population 25 Years and Over: Bachelor's Degree or Better,Civilian Population in Labor Force 16 Years and Over:,Civilian Population in Labor Force 16 Years and Over: Employed,Civilian Population in Labor Force 16 Years and Over: Unemployed,% Civilian Population in Labor Force 16 Years and Over: Employed,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Median Household Income (In 2018 Inflation Adjusted Dollars),Gini Index,Total Population in Occupied Housing Units: Renter Occupied,"Total Population in Occupied Housing Units: Renter Occupied: 1, Detached or Attached",Total Population in Occupied Housing Units: Renter Occupied: 2 to 4,Total Population in Occupied Housing Units: Renter Occupied: 5 or More,Total Population in Occupied Housing Units: Renter Occupied: Mobile Home,"Total Population in Occupied Housing Units: Renter Occupied: Boat, Rv, Van, Etc.","% Total Population in Occupied Housing Units: Renter Occupied: 1, Detached or Attached",% Total Population in Occupied Housing Units: Renter Occupied: 2 to 4,% Total Population in Occupied Housing Units: Renter Occupied: 5 or More,% Total Population in Occupied Housing Units: Renter Occupied: Mobile Home,"% Total Population in Occupied Housing Units: Renter Occupied: Boat, Rv, Van, Etc.",Renter-Occupied Housing Units,Renter-Occupied Housing Units: 30 to 49 Percent,Renter-Occupied Housing Units: 50 percent or More,% Renter-Occupied Housing Units: 30 to 49 Percent,% Renter-Occupied Housing Units: 50 percent or More,Median Gross Rent as a Percentage of Household  Income in the Past 12 Months (Dollars),Owner-Occupied Housing Units,Owner-Occupied Housing Units: Homeowners Who are Paying at Least 30% of Income for Ownership Costs,Owner-Occupied Housing Units: Homeowners Who are Paying at Least 50% of Income for Ownership Costs,% Owner-Occupied Housing Units: Homeowners Who are Paying at Least 30% of Income for Ownership Costs,% Owner-Occupied Housing Units: Homeowners Who are Paying at Least 50% of Income for Ownership Costs,Median Selected Monthly Owner Costs as a Percentage of Household Income:,Median Selected Monthly Owner Costs as a Percentage Of&nbsp; Household Income: Housing Units with a Mortgage,Median Selected Monthly Owner Costs as a Percentage Of&nbsp; Household Income: Housing Units Without a Mortgage
Geo_FIPS,Geo_GEOID,SE_B01001_001,SE_B01001_002,SE_B01001_003,SE_B01001_004,SE_B01001_005,PCT_SE_B01001_002,PCT_SE_B01001_003,PCT_SE_B01001_004,PCT_SE_B01001_005,SE_B12001_001,SE_B12001_002,SE_B12001_003,SE_B12001_004,PCT_SE_B12001_002,PCT_SE_B12001_003,PCT_SE_B12001_004,SE_A17005_001,SE_A17005_002,SE_A17005_003,PCT_SE_A17005_002,PCT_SE_A17005_003,SE_A14006_001,SE_A14028_001,SE_A10062B_001,SE_A10062B_002,SE_A10062B_003,SE_A10062B_004,SE_A10062B_005,SE_A10062B_006,PCT_SE_A10062B_002,PCT_SE_A10062B_003,PCT_SE_A10062B_004,PCT_SE_A10062B_005,PCT_SE_A10062B_006,SE_B18002_001,SE_B18002_002,SE_B18002_003,PCT_SE_B18002_002,PCT_SE_B18002_003,SE_A18003_001,SE_B10040_001,SE_B10040_002,SE_B10040_003,PCT_SE_B10040_002,PCT_SE_B10040_003,SE_A10037_001,SE_A10037_002,SE_A10037_003
2.7009E+11,15000US270090203001,2028,665,468,670,225,32.79,23.08,33.04,11.09,1292,34,910,348,2.63,70.43,26.93,1080,1033,47,95.65,4.35,78417,,446,431,0,15,0,0,96.64,0,3.36,0,0,111,0,34,0,30.63,25.5,596,123,65,20.64,10.91,19.10000038,20.10000038,13.39999962
2.7009E+11,15000US270090203002,1516,503,219,580,214,33.18,14.45,38.26,14.12,979,55,664,260,5.62,67.82,26.56,798,795,3,99.62,0.38,82708,,164,102,60,2,0,0,62.2,36.59,1.22,0,0,55,7,0,12.73,0,16.79999924,469,114,19,24.31,4.05,20.60000038,23.5,12.89999962
2.7009E+11,15000US270090212001,1408,301,513,504,90,21.38,36.43,35.8,6.39,865,78,530,257,9.02,61.27,29.71,866,850,16,98.15,1.85,34737,,472,0,126,320,26,0,0,26.69,67.8,5.51,0,288,116,103,40.28,35.76,41.59999847,388,55,13,14.18,3.35,19,19.70000076,9
2.7009E+11,15000US270090212002,1295,196,231,661,207,15.14,17.84,51.04,15.98,937,203,586,148,21.66,62.54,15.8,747,633,114,84.74,15.26,37212,,615,121,89,405,0,0,19.67,14.47,65.85,0,0,324,135,65,41.67,20.06,31.70000076,303,27,0,8.91,0,18.20000076,22.5,9
2.7009E+11,15000US270090212003,1249,137,574,494,44,10.97,45.96,39.55,3.52,765,119,567,79,15.56,74.12,10.33,833,813,20,97.6,2.4,40516,,929,27,59,843,0,0,2.91,6.35,90.74,0,0,594,112,152,18.86,25.59,27.29999924,161,42,42,26.09,26.09,23.79999924,25.10000038,19.10000038
2.7009E+11,15000US270090212004,969,227,277,389,76,23.43,28.59,40.14,7.84,580,46,373,161,7.93,64.31,27.76,617,597,20,96.76,3.24,51786,,489,6,51,432,0,0,1.23,10.43,88.34,0,0,180,46,0,25.56,0,26.5,210,60,49,28.57,23.33,16,28,9
2.7009E+11,15000US270090212005,1723,313,808,421,181,18.17,46.89,24.43,10.5,966,141,619,206,14.6,64.08,21.33,1077,1053,24,97.77,2.23,39929,,1178,34,307,837,0,0,2.89,26.06,71.05,0,0,575,230,86,40,14.96,31,235,22,10,9.36,4.26,15.19999981,17.20000076,13.60000038
2.7141E+11,15000US271410303001,760,161,79,370,150,21.18,10.39,48.68,19.74,574,24,440,110,4.18,76.66,19.16,412,397,15,96.36,3.64,73750,,75,75,0,0,0,0,100,0,0,0,0,36,0,9,0,25,18.79999924,241,65,20,26.97,8.3,20.39999962,23.79999924,9
2.7141E+11,15000US271410303004,1553,316,257,720,260,20.35,16.55,46.36,16.74,1125,42,685,398,3.73,60.89,35.38,869,856,13,98.5,1.5,96406,,143,113,21,9,0,0,79.02,14.69,6.29,0,0,59,9,17,15.25,28.81,27,507,86,43,16.96,8.48,14,19.70000076,9
2.7141E+11,15000US271410315001,2529,671,417,779,662,26.53,16.49,30.8,26.18,1756,233,904,619,13.27,51.48,35.25,884,839,45,94.91,5.09,38618,,1055,314,187,554,0,0,29.76,17.73,52.51,0,0,538,50,261,9.29,48.51,37.79999924,457,109,83,23.85,18.16,16.29999924,21.70000076,11.69999981
2.7141E+11,15000US271410315002,1530,312,380,570,268,20.39,24.84,37.25,17.52,1140,120,670,350,10.53,58.77,30.7,832,820,12,98.56,1.44,44531,,589,406,0,183,0,0,68.93,0,31.07,0,0,228,98,18,42.98,7.89,31.29999924,489,173,89,35.38,18.2,20.29999924,21.79999924,15
2.7141E+11,15000US271410315003,1445,269,632,371,173,18.62,43.74,25.67,11.97,893,29,614,250,3.25,68.76,28,948,948,0,100,0,48043,,740,39,29,672,0,0,5.27,3.92,90.81,0,0,335,38,52,11.34,15.52,25.60000038,269,54,0,20.07,0,21.39999962,22.89999962,
2.7141E+11,15000US271410315004,2100,18,1299,584,199,0.86,61.86,27.81,9.48,1454,226,1142,86,15.54,78.54,5.91,704,610,94,86.65,13.35,,,940,166,16,758,0,0,17.66,1.7,80.64,0,0,428,63,103,14.72,24.07,19.29999924,44,27,27,61.36,61.36,51,,
2.7145E+11,15000US271450003011,1624,327,684,373,240,20.14,42.12,22.97,14.78,970,132,655,183,13.61,67.53,18.87,930,833,97,89.57,10.43,44583,,1012,445,60,507,0,0,43.97,5.93,50.1,0,0,388,78,107,20.1,27.58,29.39999962,290,18,0,6.21,0,16,18.89999962,15
2.7145E+11,15000US271450003012,1788,452,693,521,122,25.28,38.76,29.14,6.82,1077,90,733,254,8.36,68.06,23.58,1177,1045,132,88.79,11.21,42625,,792,671,0,114,7,0,84.72,0,14.39,0.88,0,292,56,72,19.18,24.66,27.89999962,407,89,44,21.87,10.81,20.70000076,21.60000038,17.39999962
2.7145E+11,15000US271450003021,1152,14,997,67,74,1.22,86.55,5.82,6.42,328,0,148,180,0,45.12,54.88,875,806,69,92.11,7.89,43365,,916,443,105,368,0,0,48.36,11.46,40.17,0,0,283,85,37,30.04,13.07,22.5,62,12,12,19.35,19.35,9,,9
2.7145E+11,15000US271450003022,1916,118,1682,116,0,6.16,87.79,6.05,0,165,52,48,65,31.52,29.09,39.39,1588,1560,28,98.24,1.76,29074,,1850,791,42,1017,0,0,42.76,2.27,54.97,0,0,414,90,114,21.74,27.54,36.40000153,12,0,0,0,0,,,
2.7145E+11,15000US271450003023,2605,637,1547,421,0,24.45,59.39,16.16,0,838,260,560,18,31.03,66.83,2.15,1689,1476,213,87.39,12.61,25451,,2593,185,223,2185,0,0,7.13,8.6,84.27,0,0,691,159,157,23.01,22.72,29.39999962,12,0,0,0,0,,,
2.7145E+11,15000US271450003024,1604,380,433,527,264,23.69,27,32.86,16.46,1007,28,546,433,2.78,54.22,43,882,820,62,92.97,7.03,47841,,681,282,59,340,0,0,41.41,8.66,49.93,0,0,274,86,57,31.39,20.8,32.09999847,396,74,13,18.69,3.28,19.79999924,25.79999924,9
2.7145E+11,15000US271450003025,1949,819,975,155,0,42.02,50.03,7.95,0,442,114,221,107,25.79,50,24.21,999,767,232,76.78,23.22,24732,,1734,353,40,1341,0,0,20.36,2.31,77.34,0,0,459,87,164,18.95,35.73,31.5,33,33,0,100,0,,,
2.7145E+11,15000US271450004011,2357,705,839,647,166,29.91,35.6,27.45,7.04,1250,379,628,243,30.32,50.24,19.44,1287,1070,217,83.14,16.86,32250,,2085,54,79,1952,0,0,2.59,3.79,93.62,0,0,838,251,188,29.95,22.43,31.39999962,136,0,0,0,0,15,15.39999962,
2.7145E+11,15000US271450004012,1396,166,585,426,219,11.89,41.91,30.52,15.69,1014,14,652,348,1.38,64.3,34.32,941,866,75,92.03,7.97,54967,,755,42,30,683,0,0,5.56,3.97,90.46,0,0,418,86,34,20.57,8.13,22.70000076,321,91,15,28.35,4.67,22,24.39999962,10.10000038
2.7145E+11,15000US271450004013,1913,278,680,731,224,14.53,35.55,38.21,11.71,1254,20,545,689,1.59,43.46,54.94,1129,1108,21,98.14,1.86,60296,,749,217,50,482,0,0,28.97,6.68,64.35,0,0,318,128,15,40.25,4.72,29.79999924,419,60,0,14.32,0,13.39999962,16.39999962,9
2.7145E+11,15000US271450004021,2106,624,348,856,278,29.63,16.52,40.65,13.2,1349,9,518,822,0.67,38.4,60.93,1147,1139,8,99.3,0.7,123194,,93,93,0,0,0,0,100,0,0,0,0,32,0,0,0,0,,676,53,35,7.84,5.18,15.30000019,17.70000076,9
2.7145E+11,15000US271450004022,2875,563,452,1508,352,19.58,15.72,52.45,12.24,2060,18,1075,967,0.87,52.18,46.94,1727,1682,45,97.39,2.61,93554,,108,108,0,0,0,0,100,0,0,0,0,39,10,0,25.64,0,14.19999981,1046,207,63,19.79,6.02,16.5,19.10000038,9
2.7145E+11,15000US271450005001,1623,225,862,239,297,13.86,53.11,14.73,18.3,982,255,624,103,25.97,63.54,10.49,886,766,120,86.46,13.54,25588,,1623,189,92,1342,0,0,11.65,5.67,82.69,0,0,818,402,160,49.14,19.56,37.90000153,0,0,0,,,,,
2.7145E+11,15000US271450005002,1238,356,577,289,16,28.76,46.61,23.34,1.29,506,78,291,137,15.42,57.51,27.08,844,813,31,96.33,3.67,53482,,832,73,0,759,0,0,8.77,0,91.23,0,0,340,0,40,0,11.76,20.79999924,137,45,29,32.85,21.17,26.70000076,26.70000076,
2.7145E+11,15000US271450005003,2333,577,702,865,189,24.73,30.09,37.08,8.1,1282,208,826,248,16.22,64.43,19.34,1415,1398,17,98.8,1.2,55714,,1368,104,0,1264,0,0,7.6,0,92.4,0,0,639,239,52,37.4,8.14,26.89999962,313,31,18,9.9,5.75,14.80000019,21.29999924,9
2.7145E+11,15000US271450005004,1900,360,291,333,916,18.95,15.32,17.53,48.21,1444,148,1053,243,10.25,72.92,16.83,678,647,31,95.43,4.57,39736,,563,158,90,315,0,0,28.06,15.99,55.95,0,0,306,51,103,16.67,33.66,33.09999847,751,218,104,29.03,13.85,20.29999924,23.10000038,16.60000038
2.7145E+11,15000US271450005005,619,103,100,314,102,16.64,16.16,50.73,16.48,490,30,388,72,6.12,79.18,14.69,389,389,0,100,0,52143,,0,0,0,0,0,0,,,,,,0,0,0,,,,288,45,26,15.62,9.03,20.10000038,20.89999962,
2.7145E+11,15000US271450006011,1373,524,344,381,124,38.16,25.05,27.75,9.03,715,121,496,98,16.92,69.37,13.71,677,539,138,79.62,20.38,37026,,617,279,46,292,0,0,45.22,7.46,47.33,0,0,260,62,26,23.85,10,24.89999962,223,73,34,32.74,15.25,21.10000038,28.79999924,9
2.7145E+11,15000US271450006012,1067,157,293,494,123,14.71,27.46,46.3,11.53,772,48,533,191,6.22,69.04,24.74,737,723,14,98.1,1.9,44615,,251,251,0,0,0,0,100,0,0,0,0,104,0,24,0,23.08,15.60000038,392,99,33,25.26,8.42,19,19.10000038,18.79999924
2.7145E+11,15000US271450006013,974,246,217,384,127,25.26,22.28,39.43,13.04,627,47,443,137,7.5,70.65,21.85,517,459,58,88.78,11.22,52014,,322,229,93,0,0,0,71.12,28.88,0,0,0,101,24,10,23.76,9.9,25.89999962,293,34,0,11.6,0,19.20000076,25.10000038,9
2.7145E+11,15000US271450006021,815,194,115,413,93,23.8,14.11,50.67,11.41,567,41,355,171,7.23,62.61,30.16,508,499,9,98.23,1.77,44500,,277,196,24,57,0,0,70.76,8.66,20.58,0,0,133,37,20,27.82,15.04,19.70000076,223,55,19,24.66,8.52,19.79999924,22.60000038,13.5
2.7145E+11,15000US271450006022,1004,185,262,448,109,18.43,26.1,44.62,10.86,782,21,521,240,2.69,66.62,30.69,616,602,14,97.73,2.27,46625,,203,134,69,0,0,0,66.01,33.99,0,0,0,125,29,28,23.2,22.4,23.29999924,306,85,24,27.78,7.84,14.80000019,20.79999924,9
2.7145E+11,15000US271450006023,719,67,270,326,56,9.32,37.55,45.34,7.79,532,7,378,147,1.32,71.05,27.63,479,469,10,97.91,2.09,39612,,60,23,37,0,0,0,38.33,61.67,0,0,0,25,4,0,16,0,18,252,65,15,25.79,5.95,19.89999962,21.79999924,18.10000038
2.7145E+11,15000US271450007011,642,81,77,316,168,12.62,11.99,49.22,26.17,543,47,392,104,8.66,72.19,19.15,348,348,0,100,0,52656,,61,51,10,0,0,0,83.61,16.39,0,0,0,26,10,0,38.46,0,28.10000038,283,79,35,27.92,12.37,18.70000076,23.10000038,9
2.7145E+11,15000US271450007012,523,54,143,213,113,10.33,27.34,40.73,21.61,387,14,262,111,3.62,67.7,28.68,351,341,10,97.15,2.85,56250,,97,97,0,0,0,0,100,0,0,0,0,52,0,0,0,0,,222,40,7,18.02,3.15,15.30000019,18.39999962,13.10000038
2.7145E+11,15000US271450007013,981,277,117,391,196,28.24,11.93,39.86,19.98,628,62,435,131,9.87,69.27,20.86,453,408,45,90.07,9.93,50240,,223,211,0,12,0,0,94.62,0,5.38,0,0,73,0,12,0,16.44,25.10000038,254,40,9,15.75,3.54,18.39999962,20.89999962,13.80000019
2.7145E+11,15000US271450007014,611,227,161,156,67,37.15,26.35,25.53,10.97,362,7,244,111,1.93,67.4,30.66,275,236,39,85.82,14.18,39083,,143,86,26,31,0,0,60.14,18.18,21.68,0,0,96,0,62,0,64.58,51,159,8,0,5.03,0,17.39999962,18.70000076,11.30000019
2.7145E+11,15000US271450008011,922,182,297,286,157,19.74,32.21,31.02,17.03,679,73,477,129,10.75,70.25,19,502,454,48,90.44,9.56,25345,,464,236,41,187,0,0,50.86,8.84,40.3,0,0,277,60,113,21.66,40.79,37.70000076,201,72,40,35.82,19.9,22.70000076,30.39999962,17.5
2.7145E+11,15000US271450008012,721,153,108,300,160,21.22,14.98,41.61,22.19,481,21,251,209,4.37,52.18,43.45,405,401,4,99.01,0.99,100833,,68,61,7,0,0,0,89.71,10.29,0,0,0,19,0,12,0,63.16,,213,4,4,1.88,1.88,10.69999981,15.19999981,9
2.7145E+11,15000US271450008013,646,152,75,315,104,23.53,11.61,48.76,16.1,479,0,296,183,0,61.8,38.2,321,316,5,98.44,1.56,68063,,110,64,0,46,0,0,58.18,0,41.82,0,0,61,10,0,16.39,0,,228,25,0,10.96,0,12,14.60000038,9
2.7145E+11,15000US271450008014,980,257,455,186,82,26.22,46.43,18.98,8.37,463,14,335,114,3.02,72.35,24.62,581,520,61,89.5,10.5,28538,,693,173,150,370,0,0,24.96,21.65,53.39,0,0,309,45,131,14.56,42.39,38.5,137,49,29,35.77,21.17,21.89999962,23.10000038,9
2.7145E+11,15000US271450009011,1404,201,298,596,309,14.32,21.23,42.45,22.01,1025,74,370,581,7.22,36.1,56.68,664,635,29,95.63,4.37,54837,,343,93,25,223,2,0,27.11,7.29,65.01,0.58,0,233,26,68,11.16,29.18,30.89999962,418,68,50,16.27,11.96,17,19.79999924,9
2.7145E+11,15000US271450009012,1226,288,222,577,139,23.49,18.11,47.06,11.34,810,119,493,198,14.69,60.86,24.44,656,609,47,92.84,7.16,34538,,785,248,0,520,17,0,31.59,0,66.24,2.17,0,365,118,92,32.33,25.21,33.29999924,211,79,7,37.44,3.32,26.20000076,29.5,9
2.7145E+11,15000US271450009013,1712,307,469,647,289,17.93,27.39,37.79,16.88,1203,70,750,383,5.82,62.34,31.84,1046,972,74,92.93,7.07,38185,,603,0,0,603,0,0,0,0,100,0,0,431,62,144,14.39,33.41,29.10000038,446,53,23,11.88,5.16,14.30000019,16.39999962,12.30000019
2.7145E+11,15000US271450010011,1060,291,353,374,42,27.45,33.3,35.28,3.96,560,38,404,118,6.79,72.14,21.07,679,589,90,86.75,13.25,31447,,760,0,26,734,0,0,0,3.42,96.58,0,0,436,95,107,21.79,24.54,28.89999962,116,12,12,10.34,10.34,12.10000038,17.29999924,9
2.7145E+11,15000US271450010012,3885,821,756,1764,544,21.13,19.46,45.41,14,2831,179,1572,1080,6.32,55.53,38.15,2390,2326,64,97.32,2.68,71025,,517,27,0,490,0,0,5.22,0,94.78,0,0,306,67,0,21.9,0,24.10000038,1384,283,114,20.45,8.24,16.79999924,21.10000038,9
2.7145E+11,15000US271450010013,1082,77,174,334,497,7.12,16.08,30.87,45.93,936,110,621,205,11.75,66.35,21.9,300,300,0,100,0,47344,,42,29,0,13,0,0,69.05,0,30.95,0,0,28,0,0,0,0,19.70000076,224,74,50,33.04,22.32,23,22.79999924,23.10000038
2.7145E+11,15000US271450010014,2452,369,628,944,511,15.05,25.61,38.5,20.84,1841,20,1150,671,1.09,62.47,36.45,1467,1441,26,98.23,1.77,77407,,514,489,0,25,0,0,95.14,0,4.86,0,0,243,38,0,15.64,0,18.5,753,155,31,20.58,4.12,16.10000038,20.79999924,9
2.7145E+11,15000US271450114001,2008,465,397,933,213,23.16,19.77,46.46,10.61,1318,27,903,388,2.05,68.51,29.44,1181,1150,31,97.38,2.62,86450,,121,72,29,20,0,0,59.5,23.97,16.53,0,0,46,4,0,8.7,0,15.30000019,629,100,34,15.9,5.41,16.20000076,20,9
2.7145E+11,15000US271450114002,3738,885,1279,1196,378,23.68,34.22,32,10.11,2304,179,1561,564,7.77,67.75,24.48,2403,2270,133,94.47,5.53,59302,,1682,118,0,1548,16,0,7.02,0,92.03,0.95,0,791,170,156,21.49,19.72,23.79999924,731,108,38,14.77,5.2,15.10000038,18.70000076,9
2.7145E+11,15000US271450116001,1312,27,1285,0,0,2.06,97.94,0,0,39,0,18,21,0,46.15,53.85,921,786,135,85.34,14.66,,,0,0,0,0,0,0,,,,,,0,0,0,,,,0,0,0,,,,,
2.7145E+11,15000US271450116002,503,0,223,224,56,0,44.33,44.53,11.13,358,29,258,71,8.1,72.07,19.83,196,170,26,86.73,13.27,10064,,328,79,0,249,0,0,24.09,0,75.91,0,0,262,50,76,19.08,29.01,31.39999962,0,0,0,,,,,
2.7145E+11,15000US271450116003,690,51,527,76,36,7.39,76.38,11.01,5.22,159,4,77,78,2.52,48.43,49.06,423,369,54,87.23,12.77,28889,,481,138,0,343,0,0,28.69,0,71.31,0,0,156,52,39,33.33,25,32.5,28,4,4,14.29,14.29,9,15.5,
2.7145E+11,15000US271450116004,940,48,875,17,0,5.11,93.09,1.81,0,17,0,14,3,0,82.35,17.65,629,519,110,82.51,17.49,,,57,57,0,0,0,0,100,0,0,0,0,7,0,0,0,0,,10,10,7,100,70,,,